Qtr_DY,DY,BS_Section1,BS_Section2,BS_Section3,BS_Section4,BS_Ref,BS_Section5
2019/03/31,Derek Young,資産の部,流動資産,現金及び預金,,1427907,1427907
2019/03/31,Derek Young,資産の部,流動資産,立替金,,100317,100317
2019/03/31,Derek Young,資産の部,流動資産,前払費用,,13866,13866
2019/03/31,Derek Young,資産の部,流動資産,未収委託者報酬,,5388448,5388448
2019/03/31,Derek Young,資産の部,流動資産,未収運用受託報酬,,0,0
2019/03/31,Derek Young,資産の部,流動資産,未収収益,,741116,741116
2019/03/31,Derek Young,資産の部,流動資産,未収入金,,150419,150419
2019/03/31,Derek Young,資産の部,流動資産,繰延税金資産,,0,0
2019/03/31,Derek Young,資産の部,流動資産,未収還付法人税等,,50510,50510
2019/03/31,Derek Young,資産の部,流動資産,未収還付消費税等,,120394,120394
2019/03/31,Derek Young,資産の部,固定資産,有形固定資産,建設仮勘定,0,0
2019/03/31,Derek Young,資産の部,固定資産,無形固定資産,電話加入権,7487,7487
2019/03/31,Derek Young,資産の部,固定資産,投資その他の資産,長期貸付金,23346748,23346748
2019/03/31,Derek Young,資産の部,固定資産,投資その他の資産,長期差入保証金,25145,25145
2019/03/31,Derek Young,資産の部,固定資産,投資その他の資産,繰延税金資産,1089396,1089396
2019/03/31,Derek Young,資産の部,固定資産,投資その他の資産,その他,430,430
2019/03/31,Derek Young,負債の部,流動負債,預り金,,30687,-30687
2019/03/31,Derek Young,負債の部,流動負債,未払金,未払手数料,2369952,-2369952
2019/03/31,Derek Young,負債の部,流動負債,未払金,その他未払金,1653290,-1653290
2019/03/31,Derek Young,負債の部,流動負債,未払費用,,592634,-592634
2019/03/31,Derek Young,負債の部,流動負債,未払法人税等,,0,0
2019/03/31,Derek Young,負債の部,流動負債,賞与引当金,,1469810,-1469810
2019/03/31,Derek Young,負債の部,流動負債,その他流動負債,,931,-931
2019/03/31,Derek Young,負債の部,固定負債,長期賞与引当金,,298547,-298547
2019/03/31,Derek Young,負債の部,固定負債,退職給付引当金,,4712577,-4712577
2019/03/31,Derek Young,負債の部,固定負債,関係会社引当金 ,,0,0
2019/03/31,Derek Young,負債の部,固定負債,預り保証金,,0,0
2019/03/31,Derek Young,負債の部,固定負債,繰延税金負債 ,,0,0
2019/03/31,Derek Young,純資産の部,株主資本,資本金,,1000000,1000000
2019/03/31,Derek Young,純資産の部,株主資本,利益剰余金,利益準備金,100000,100000
2019/03/31,Derek Young,純資産の部,株主資本,利益剰余金,その他利益剰余金,0,0
2019/03/31,Derek Young,純資産の部,株主資本,利益剰余金,繰越利益剰余金,20233755,20233755
2019/03/31,Derek Young,純資産の部,評価・換算差額等,その他有価証券評価差額金,,0,0
2020/3/31,Derek Young,資産の部,流動資産,現金及び預金,,1814655,1814655
2020/3/31,Derek Young,資産の部,流動資産,立替金,,77706,77706
2020/3/31,Derek Young,資産の部,流動資産,前払費用,,23391,23391
2020/3/31,Derek Young,資産の部,流動資産,未収委託者報酬,,5452894,5452894
2020/3/31,Derek Young,資産の部,流動資産,未収運用受託報酬,,539020,539020
2020/3/31,Derek Young,資産の部,流動資産,未収収益,,94632,94632
2020/3/31,Derek Young,資産の部,流動資産,未収入金,,558652,558652
2020/3/31,Derek Young,資産の部,流動資産,繰延税金資産,,42699,42699
2020/3/31,Derek Young,資産の部,流動資産,未収還付法人税等,,0,0
2020/3/31,Derek Young,資産の部,流動資産,未収還付消費税等,,0,0
2020/3/31,Derek Young,資産の部,固定資産,有形固定資産,建設仮勘定,0,0
2020/3/31,Derek Young,資産の部,固定資産,無形固定資産,電話加入権,7487,7487
2020/3/31,Derek Young,資産の部,固定資産,投資その他の資産,長期貸付金,2420123,2420123
2020/3/31,Derek Young,資産の部,固定資産,投資その他の資産,長期差入保証金,14570,14570
2020/3/31,Derek Young,資産の部,固定資産,投資その他の資産,繰延税金資産,227879,227879
2020/3/31,Derek Young,資産の部,固定資産,投資その他の資産,その他,230,230
2020/3/31,Derek Young,負債の部,流動負債,預り金,,37,-37
2020/3/31,Derek Young,負債の部,流動負債,未払金,未払手数料,2403887,-2403887
2020/3/31,Derek Young,負債の部,流動負債,未払金,その他未払金,1209713,-1209713
2020/3/31,Derek Young,負債の部,流動負債,未払費用,,518188,-518188
2020/3/31,Derek Young,負債の部,流動負債,未払法人税等,,0,0
2020/3/31,Derek Young,負債の部,流動負債,未払消費税等,,344568,-344568
2020/3/31,Derek Young,負債の部,流動負債,賞与引当金,,750040,-750040
2020/3/31,Derek Young,負債の部,流動負債,その他流動負債,,355,-355
2020/3/31,Derek Young,負債の部,固定負債,長期賞与引当金,,316834,-316834
2020/3/31,Derek Young,負債の部,固定負債,退職給付引当金,,1906773,-1906773
2020/3/31,Derek Young,負債の部,固定負債,関係会社引当金 ,,370080,-370080
2020/3/31,Derek Young,負債の部,固定負債,預り保証金,,0,0
2020/3/31,Derek Young,負債の部,固定負債,繰延税金負債 ,,0,0
2020/3/31,Derek Young,純資産の部,株主資本,資本金,,1000000,1000000
2020/3/31,Derek Young,純資産の部,株主資本,利益剰余金,利益準備金,250000,250000
2020/3/31,Derek Young,純資産の部,株主資本,利益剰余金,その他利益剰余金,0,0
2020/3/31,Derek Young,純資産の部,株主資本,利益剰余金,繰越利益剰余金,2203463,2203463
2020/3/31,Derek Young,純資産の部,評価・換算差額等,その他有価証券評価差額金,,0,0
2021/03/31,Derek Young,資産の部,流動資産,現金及び預金,,3247762,3247762
2021/03/31,Derek Young,資産の部,流動資産,立替金,,55896,55896
2021/03/31,Derek Young,資産の部,流動資産,前払費用,,33253,33253
2021/03/31,Derek Young,資産の部,流動資産,未収委託者報酬,,6757847,6757847
2021/03/31,Derek Young,資産の部,流動資産,未収運用受託報酬,,9468144,9468144
2021/03/31,Derek Young,資産の部,流動資産,未収収益,,7227,7227
2021/03/31,Derek Young,資産の部,流動資産,未収入金,,197099,197099
2021/03/31,Derek Young,資産の部,流動資産,繰延税金資産,,0,0
2021/03/31,Derek Young,資産の部,流動資産,未収還付法人税等,,0,0
2021/03/31,Derek Young,資産の部,流動資産,未収還付消費税等,,0,0
2021/03/31,Derek Young,資産の部,固定資産,有形固定資産,建設仮勘定,0,0
2021/03/31,Derek Young,資産の部,固定資産,無形固定資産,電話加入権,7487,7487
2021/03/31,Derek Young,資産の部,固定資産,投資その他の資産,長期貸付金,4012754,4012754
2021/03/31,Derek Young,資産の部,固定資産,投資その他の資産,長期差入保証金,13505,13505
2021/03/31,Derek Young,資産の部,固定資産,投資その他の資産,繰延税金資産,378891,378891
2021/03/31,Derek Young,資産の部,固定資産,投資その他の資産,その他,230,230
2021/03/31,Derek Young,負債の部,流動負債,預り金,,7,-7
2021/03/31,Derek Young,負債の部,流動負債,未払金,未払手数料,2988518,-2988518
2021/03/31,Derek Young,負債の部,流動負債,未払金,その他未払金,6727569,-6727569
2021/03/31,Derek Young,負債の部,流動負債,未払費用,,349227,-349227
2021/03/31,Derek Young,負債の部,流動負債,未払法人税等,,483198,-483198
2021/03/31,Derek Young,負債の部,流動負債,未払消費税等,,1276957,-1276957
2021/03/31,Derek Young,負債の部,流動負債,賞与引当金,,1074712,-1074712
2021/03/31,Derek Young,負債の部,流動負債,その他流動負債,,355,-355
2021/03/31,Derek Young,負債の部,固定負債,長期賞与引当金,,210912,-210912
2021/03/31,Derek Young,負債の部,固定負債,退職給付引当金,,1942812,-1942812
2021/03/31,Derek Young,負債の部,固定負債,関係会社引当金 ,,0,0
2021/03/31,Derek Young,負債の部,固定負債,預り保証金,,0,0
2021/03/31,Derek Young,負債の部,固定負債,繰延税金負債 ,,0,0
2021/03/31,Derek Young,純資産の部,株主資本,資本金,,1000000,1000000
2021/03/31,Derek Young,純資産の部,株主資本,利益剰余金,利益準備金,250000,250000
2021/03/31,Derek Young,純資産の部,株主資本,利益剰余金,その他利益剰余金,0,0
2021/03/31,Derek Young,純資産の部,株主資本,利益剰余金,繰越利益剰余金,7875826,7875826
2021/03/31,Derek Young,純資産の部,評価・換算差額等,その他有価証券評価差額金,,0,0
2021/12/31,Derek Young,資産の部,流動資産,現金及び預金,,2332260,2332260
2021/12/31,Derek Young,資産の部,流動資産,立替金,,10825,10825
2021/12/31,Derek Young,資産の部,流動資産,前払費用,,391344,391344
2021/12/31,Derek Young,資産の部,流動資産,未収委託者報酬,,5945170,5945170
2021/12/31,Derek Young,資産の部,流動資産,未収運用受託報酬,,1090786,1090786
2021/12/31,Derek Young,資産の部,流動資産,未収収益,,7554,7554
2021/12/31,Derek Young,資産の部,流動資産,未収入金,,230819,230819
2021/12/31,Derek Young,資産の部,流動資産,繰延税金資産,,0,0
2021/12/31,Derek Young,資産の部,流動資産,未収還付法人税等,,0,0
2021/12/31,Derek Young,資産の部,流動資産,未収還付消費税等,,0,0
2021/12/31,Derek Young,資産の部,固定資産,有形固定資産,建設仮勘定,0,0
2021/12/31,Derek Young,資産の部,固定資産,無形固定資産,電話加入権,7487,7487
2021/12/31,Derek Young,資産の部,固定資産,投資その他の資産,長期貸付金,3719377,3719377
2021/12/31,Derek Young,資産の部,固定資産,投資その他の資産,長期差入保証金,13505,13505
2021/12/31,Derek Young,資産の部,固定資産,投資その他の資産,繰延税金資産,218947,218947
2021/12/31,Derek Young,資産の部,固定資産,投資その他の資産,その他,230,230
2021/12/31,Derek Young,負債の部,流動負債,預り金,,325,-325
2021/12/31,Derek Young,負債の部,流動負債,未払金,未払手数料,2709755,-2709755
2021/12/31,Derek Young,負債の部,流動負債,未払金,その他未払金,2414060,-2414060
2021/12/31,Derek Young,負債の部,流動負債,未払費用,,288865,-288865
2021/12/31,Derek Young,負債の部,流動負債,未払法人税等,,15600,-15600
2021/12/31,Derek Young,負債の部,流動負債,未払消費税等,,633070,-633070
2021/12/31,Derek Young,負債の部,流動負債,賞与引当金,,1037307,-1037307
2021/12/31,Derek Young,負債の部,流動負債,その他流動負債,,355,-355
2021/12/31,Derek Young,負債の部,固定負債,長期賞与引当金,,389323,-389323
2021/12/31,Derek Young,負債の部,固定負債,退職給付引当金,,1998303,-1998303
2021/12/31,Derek Young,負債の部,固定負債,関係会社引当金 ,,0,0
2021/12/31,Derek Young,負債の部,固定負債,預り保証金,,0,0
2021/12/31,Derek Young,負債の部,固定負債,繰延税金負債 ,,0,0
2021/12/31,Derek Young,純資産の部,株主資本,資本金,,1000000,1000000
2021/12/31,Derek Young,純資産の部,株主資本,利益剰余金,利益準備金,250000,250000
2021/12/31,Derek Young,純資産の部,株主資本,利益剰余金,その他利益剰余金,0,0
2021/12/31,Derek Young,純資産の部,株主資本,利益剰余金,繰越利益剰余金,3231341,3231341
2021/12/31,Derek Young,純資産の部,評価・換算差額等,その他有価証券評価差額金,,0,0
