Qtr_JM,JM,BS_Section1,BS_Section2,BS_Section3,BS_Section4,BS_Ref,BS_Section5
2013/3/31,Judi Marlinski,資産の部,流動資産,現金及び預金,,423130,423130
2013/3/31,Judi Marlinski,資産の部,流動資産,立替金,,181961,181961
2013/3/31,Judi Marlinski,資産の部,流動資産,前払費用,,143816,143816
2013/3/31,Judi Marlinski,資産の部,流動資産,未収委託者報酬,,4228278,4228278
2013/3/31,Judi Marlinski,資産の部,流動資産,未収運用受託報酬,,0,0
2013/3/31,Judi Marlinski,資産の部,流動資産,未収収益,,450497,450497
2013/3/31,Judi Marlinski,資産の部,流動資産,未収入金,,541967,541967
2013/3/31,Judi Marlinski,資産の部,流動資産,繰延税金資産,,1044008,1044008
2013/3/31,Judi Marlinski,資産の部,流動資産,未収還付法人税等,,0,0
2013/3/31,Judi Marlinski,資産の部,流動資産,未収還付消費税等,,0,0
2013/3/31,Judi Marlinski,資産の部,固定資産,有形固定資産,建設仮勘定,0,0
2013/3/31,Judi Marlinski,資産の部,固定資産,無形固定資産,電話加入権,7487,7487
2013/3/31,Judi Marlinski,資産の部,固定資産,投資その他の資産,長期貸付金,1431173,1431173
2013/3/31,Judi Marlinski,資産の部,固定資産,投資その他の資産,長期差入保証金,12550000,12550000
2013/3/31,Judi Marlinski,資産の部,固定資産,投資その他の資産,繰延税金資産,83374,83374
2013/3/31,Judi Marlinski,資産の部,固定資産,投資その他の資産,その他,830,830
2013/3/31,Judi Marlinski,負債の部,流動負債,預り金,,204,-204
2013/3/31,Judi Marlinski,負債の部,流動負債,未払金,未払手数料,1801025,-1801025
2013/3/31,Judi Marlinski,負債の部,流動負債,未払金,その他未払金,1209146,-1209146
2013/3/31,Judi Marlinski,負債の部,流動負債,未払費用,,959644,-959644
2013/3/31,Judi Marlinski,負債の部,流動負債,未払法人税等,,72987,-72987
2013/3/31,Judi Marlinski,負債の部,流動負債,未払消費税等,,125710,-125710
2013/3/31,Judi Marlinski,負債の部,流動負債,賞与引当金,,1967731,-1967731
2013/3/31,Judi Marlinski,負債の部,流動負債,その他流動負債,,41180,-41180
2013/3/31,Judi Marlinski,負債の部,固定負債,長期賞与引当金,,211868,-211868
2013/3/31,Judi Marlinski,負債の部,固定負債,退職給付引当金,,5099781,-5099781
2013/3/31,Judi Marlinski,負債の部,固定負債,関係会社引当金 ,,1255160,-1255160
2013/3/31,Judi Marlinski,負債の部,固定負債,預り保証金,,19485,-19485
